segment_id,road_name,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,std_slope_deg,mean_curvature,terrain_roughness,stream_proximity_pct
42,I-75,374.6,88.0,6.31,11.91,2.58,0.031,18.13,10.5
43,I-75,355.7,97.8,6.22,10.19,2.2,-0.0016,17.83,10.6
44,I-75,358.5,110.4,5.85,11.04,2.5,-0.0173,17.97,11.0
45,I-75,373.1,120.2,8.27,20.71,4.3,0.0176,24.64,11.0
46,I-75,340.4,120.4,7.54,20.71,4.97,-0.0009,25.33,34.8
47,I-75,320.0,64.1,5.57,16.36,4.12,-0.0241,19.41,16.0
48,I-75,320.3,57.7,4.03,14.42,3.1,-0.0032,13.09,15.2
49,I-75,311.9,43.0,1.57,6.56,1.83,-0.0017,5.47,56.2
50,I-75,313.1,53.8,2.23,15.92,3.08,-0.0089,8.36,50.0
51,I-75,349.2,134.7,6.72,19.81,4.57,-0.0114,21.52,10.6
52,I-75,376.2,117.1,8.21,19.81,3.8,0.018,25.75,10.5
53,I-75,355.5,110.8,5.63,13.05,3.0,-0.0011,19.45,10.9
54,I-75,351.4,128.7,5.91,18.51,3.45,-0.0182,19.65,10.9
55,I-75,385.4,149.9,7.39,13.2,2.77,-0.0,22.67,10.9
56,I-75,384.2,131.9,7.16,15.98,2.94,0.0091,22.16,10.5
57,I-75,352.6,122.7,6.37,15.98,3.28,0.003,20.97,10.5
58,I-75,347.4,129.0,6.99,15.56,3.71,0.0085,22.49,10.8
59,I-75,365.4,129.0,6.84,15.56,3.52,0.0092,21.36,10.4
60,I-75,355.7,129.2,6.05,15.1,2.93,-0.0141,19.2,10.6
61,I-75,332.0,135.8,8.26,20.7,5.39,-0.0012,27.32,10.9
62,I-75,321.0,136.0,7.7,20.7,5.32,0.0097,24.82,10.5
63,I-75,312.0,78.4,4.58,12.63,2.57,0.0016,14.37,10.8
64,I-75,323.6,71.9,3.89,9.85,2.06,0.0032,13.07,10.9
65,I-75,339.4,82.5,5.04,15.12,2.84,0.0049,16.9,10.6
66,I-75,372.8,165.4,7.21,18.77,4.37,0.006,23.17,10.5
67,I-75,407.5,135.1,6.17,18.77,4.44,0.0047,20.23,10.6
68,I-75,410.8,76.0,4.91,12.99,2.74,-0.0032,14.94,10.8
69,I-75,389.6,100.4,5.0,12.99,2.76,0.0063,15.39,10.6
70,I-75,358.4,85.1,3.05,10.14,2.01,-0.0016,9.88,11.0
71,I-75,340.0,34.1,1.67,5.14,1.01,-0.005,5.39,11.0
72,I-75,337.0,30.8,1.87,5.32,0.98,0.0034,5.81,10.5
73,I-75,340.6,114.8,4.19,16.77,3.88,-0.0138,13.52,10.6
74,I-75,361.1,127.2,6.28,16.77,4.65,-0.0066,20.78,11.0
75,I-75,363.1,110.9,4.74,16.77,3.77,0.0016,15.72,10.6
76,I-75,364.6,70.2,3.76,9.98,2.43,-0.0014,12.0,10.8
77,I-75,365.7,73.8,3.64,9.56,1.91,0.013,11.28,11.0
78,I-75,344.0,59.7,2.41,4.87,1.01,0.0033,7.49,10.9
79,I-75,340.9,68.8,3.33,13.24,2.83,0.0043,10.11,11.0
80,I-75,347.0,68.8,4.3,13.24,2.81,-0.0088,13.72,10.5
81,I-75,350.8,104.6,5.86,15.31,3.59,-0.0068,18.85,10.8
82,I-75,330.6,120.7,5.37,15.31,3.75,-0.0085,17.04,10.9
83,I-75,311.2,61.2,3.36,7.97,1.71,-0.0018,10.66,10.8
84,I-75,302.7,84.8,4.29,9.18,1.95,0.0105,12.75,10.9
85,I-75,275.6,90.7,3.3,9.18,2.09,-0.0082,10.45,10.9
86,I-75,266.1,54.1,3.12,9.59,2.1,-0.0074,9.94,11.0
87,I-75,276.4,73.1,3.68,9.59,2.1,-0.0049,12.02,10.0
88,I-75,280.5,65.1,3.67,8.52,1.9,0.0058,11.57,10.9
89,I-75,278.3,55.7,3.42,7.88,1.56,0.0033,10.15,10.9
90,I-75,281.6,42.5,2.75,5.95,1.26,-0.0039,8.71,10.3
