segment_id,road_name,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,std_slope_deg,mean_curvature,terrain_roughness,stream_proximity_pct
28,I-40,554.1,127.0,5.15,21.24,5.87,-0.0021,19.22,10.7
29,I-40,575.2,48.8,1.81,5.31,1.26,0.0049,7.97,13.9
30,I-40,591.0,50.9,2.93,8.17,1.69,-0.009,10.76,10.8
31,I-40,600.6,52.2,3.49,8.17,2.07,0.005,12.65,10.8
32,I-40,588.2,66.9,4.49,7.96,1.9,0.0069,15.28,10.8
33,I-40,575.0,72.8,4.43,7.8,1.93,0.0011,15.36,10.4
34,I-40,576.7,65.8,3.77,7.86,2.04,-0.0069,13.62,10.5
35,I-40,588.1,53.5,2.71,7.86,1.88,0.0096,10.33,10.5
36,I-40,580.7,70.8,3.35,10.19,2.36,-0.0103,12.91,10.7
37,I-40,576.9,66.6,3.83,10.19,2.77,0.002,14.09,11.0
38,I-40,586.4,63.4,1.98,9.29,2.37,0.0099,7.5,10.7
39,I-40,588.6,21.8,0.81,2.14,0.39,0.0003,2.98,10.8
40,I-40,582.9,24.6,1.26,3.66,0.76,0.0027,4.36,10.5
41,I-40,579.6,27.5,1.57,3.66,0.73,0.0062,5.49,10.5
42,I-40,574.9,52.1,2.38,8.4,1.61,0.0029,8.38,10.7
43,I-40,559.6,65.6,3.8,8.58,1.96,-0.0066,12.77,10.7
44,I-40,556.9,66.1,4.07,9.2,2.18,0.0018,14.51,10.8
45,I-40,566.5,65.6,2.95,9.2,2.0,0.001,11.18,10.8
46,I-40,570.2,38.5,2.17,4.38,0.97,0.005,7.76,10.7
47,I-40,569.2,35.3,2.12,4.18,0.91,-0.0022,7.57,10.7
48,I-40,563.9,44.4,2.29,4.13,0.89,-0.0068,7.8,10.7
49,I-40,556.6,40.5,2.08,3.91,0.94,-0.0025,7.17,10.5
50,I-40,551.5,36.0,1.93,5.85,1.12,-0.0024,7.0,10.8
51,I-40,553.6,50.8,2.13,6.69,1.36,0.005,7.63,10.5
52,I-40,556.4,30.1,1.79,6.69,0.93,0.0038,6.47,10.7
53,I-40,550.6,40.1,1.82,3.56,0.72,-0.0024,6.05,11.0
54,I-40,540.4,29.2,1.89,3.65,0.75,-0.0033,6.17,11.0
55,I-40,541.1,25.3,1.55,3.06,0.6,-0.0004,5.34,10.7
56,I-40,535.8,72.0,3.01,10.16,2.6,0.0041,10.62,10.7
57,I-40,535.7,77.4,3.35,10.16,2.58,0.0019,12.45,10.7
58,I-40,540.8,33.6,1.93,8.41,1.31,0.0069,8.1,10.5
59,I-40,535.7,29.3,1.65,3.83,0.77,0.0001,6.59,11.0
60,I-40,533.7,29.2,1.7,5.32,0.96,0.0028,6.69,10.7
61,I-40,528.7,44.1,1.98,5.32,1.1,-0.0062,7.11,10.7
62,I-40,528.5,56.3,2.26,7.01,1.16,0.0079,8.72,10.7
63,I-40,529.7,78.0,3.51,16.8,2.96,0.0216,14.17,10.8
64,I-40,513.1,138.1,6.02,19.0,5.01,0.0001,22.51,10.7
65,I-40,497.0,124.2,7.44,19.4,5.52,-0.009,26.73,10.7
66,I-40,507.0,126.5,6.38,19.89,5.21,0.0201,24.01,10.5
67,I-40,503.8,138.3,6.81,19.97,5.62,0.0471,25.04,10.7
68,I-40,479.8,128.2,8.26,19.97,5.56,-0.0077,29.48,10.5
69,I-40,493.5,154.9,6.25,18.05,4.5,0.0025,22.48,10.7
70,I-40,502.0,85.6,4.4,10.84,2.41,0.0025,15.79,10.8
71,I-40,495.3,75.7,4.05,10.84,2.34,0.0042,14.02,10.7
72,I-40,483.2,67.5,3.32,7.75,1.68,0.0145,11.61,10.8
73,I-40,462.5,73.7,3.68,7.75,1.84,0.0005,12.63,11.0
74,I-40,457.1,76.5,3.99,9.59,2.03,-0.0049,14.52,10.8
75,I-40,473.1,95.2,3.43,9.59,2.35,-0.0055,12.91,10.7
76,I-40,505.8,103.2,4.97,14.91,3.85,0.0123,17.46,10.8
77,I-40,523.6,102.3,6.17,15.22,3.63,0.0156,20.76,10.7
78,I-40,512.5,89.7,3.56,8.37,2.43,-0.0028,12.78,10.8
79,I-40,500.1,64.5,3.07,10.05,2.35,0.0047,12.58,10.7
80,I-40,476.2,144.5,6.07,20.19,4.58,0.0169,23.0,10.8
81,I-40,457.5,132.7,7.33,20.19,4.71,0.0265,27.03,10.8
82,I-40,465.3,185.8,7.06,18.1,3.99,-0.0014,25.5,10.8
83,I-40,499.6,138.7,6.37,15.3,3.72,-0.0047,22.86,11.0
84,I-40,529.3,82.3,4.5,12.47,3.02,0.0,16.06,10.8
85,I-40,549.8,78.3,3.77,8.26,1.86,0.0056,13.13,10.5
86,I-40,573.6,60.5,3.29,8.26,1.84,0.0138,11.66,10.7
87,I-40,564.5,79.3,3.37,10.2,1.8,0.0071,11.84,10.8
88,I-40,523.1,136.5,5.09,13.04,2.66,0.0032,17.99,10.4
89,I-40,492.7,83.7,5.39,13.04,2.7,-0.0178,19.19,10.5
90,I-40,503.0,107.6,4.55,11.64,2.39,-0.0145,16.43,10.7
91,I-40,544.2,173.3,5.91,12.55,3.43,-0.0127,21.31,10.7
92,I-40,608.6,149.0,6.34,12.55,3.36,0.0104,22.83,10.8
93,I-40,625.9,113.0,6.35,13.81,3.23,0.0164,22.02,10.7
94,I-40,590.3,124.3,7.09,13.81,2.49,-0.0152,22.99,10.8
95,I-40,547.2,152.1,6.11,11.41,2.06,0.0123,20.85,11.0
96,I-40,490.1,123.3,4.9,11.41,1.88,0.0123,17.56,10.5
97,I-40,444.8,96.4,3.83,6.44,1.33,-0.002,13.39,10.5
98,I-40,420.1,95.1,4.26,8.56,1.96,0.001,14.52,10.5
99,I-40,395.5,106.4,5.46,8.73,2.08,-0.0015,18.99,10.5
100,I-40,361.3,130.6,7.01,17.05,3.79,-0.0027,24.37,10.5
101,I-40,339.0,106.6,7.34,17.05,3.87,0.007,24.62,10.7
102,I-40,335.8,108.5,6.46,16.08,3.13,0.0177,22.23,10.4
103,I-40,352.2,141.4,7.34,13.43,2.83,-0.0004,24.48,10.4
104,I-40,401.8,139.3,6.1,13.35,3.53,0.0087,22.56,11.0
105,I-40,411.9,128.9,6.71,15.14,4.17,0.0297,24.48,11.0
106,I-40,354.4,202.3,8.89,18.88,4.11,0.0096,31.09,10.8
107,I-40,301.8,177.6,9.12,18.88,3.67,-0.0022,31.45,10.8
108,I-40,296.4,134.1,8.01,16.12,3.38,-0.0148,27.14,10.8
109,I-40,313.8,96.5,6.55,14.47,2.89,0.018,21.49,10.8
110,I-40,323.9,75.1,4.43,10.31,2.3,0.0074,15.77,10.5
111,I-40,335.0,60.5,3.69,8.66,1.89,-0.0072,13.91,10.7
112,I-40,352.2,80.3,5.09,11.62,2.38,-0.0108,17.42,10.8
113,I-40,361.3,173.7,9.0,22.91,5.48,-0.0327,32.05,10.5
114,I-40,378.4,258.6,13.98,25.96,6.33,-0.003,49.25,10.7
115,I-40,364.3,254.6,14.75,25.96,6.68,0.0299,52.61,10.7
116,I-40,296.3,236.9,9.69,24.39,7.03,-0.0088,35.97,10.5
117,I-40,253.5,100.2,6.25,19.96,4.23,-0.0247,24.1,10.7
118,I-40,257.5,93.7,6.22,15.98,3.63,-0.0146,23.43,10.7
119,I-40,261.7,89.2,6.61,15.98,3.57,-0.0413,25.55,10.7
120,I-40,260.7,91.3,6.05,19.61,3.81,-0.013,22.99,10.8
121,I-40,268.6,100.7,5.81,13.87,3.03,-0.0093,21.65,10.8
122,I-40,288.6,103.8,5.64,10.93,2.45,-0.0003,20.78,10.8
123,I-40,296.3,92.1,5.66,11.68,2.44,0.0107,19.97,10.7
124,I-40,272.4,111.4,4.05,10.17,2.52,-0.0014,15.32,10.5
125,I-40,253.1,96.6,3.78,13.91,3.05,0.0017,14.53,10.7
126,I-40,254.9,100.7,5.25,13.91,3.62,0.0102,19.07,10.7
127,I-40,251.8,102.0,5.72,14.69,4.0,-0.0107,21.57,10.7
128,I-40,276.2,131.7,6.49,15.43,3.89,0.0087,23.45,10.8
129,I-40,297.0,108.9,6.68,13.4,2.75,0.0218,23.1,10.8
130,I-40,269.0,116.5,4.06,10.77,2.25,0.0054,15.32,10.7
131,I-40,246.9,52.0,3.35,14.94,2.73,-0.0217,13.64,10.4
132,I-40,257.8,90.9,4.44,16.08,3.76,-0.0177,17.36,10.5
133,I-40,281.3,95.6,5.57,13.66,3.02,0.0087,20.36,10.8
134,I-40,284.3,83.9,4.67,12.58,2.38,-0.001,17.45,10.7
135,I-40,283.5,83.9,4.15,10.18,2.15,0.0024,15.23,10.8
136,I-40,299.0,105.0,4.84,10.18,2.39,0.0172,17.29,11.1
137,I-40,296.7,101.6,4.81,11.37,2.87,0.0081,18.03,10.7
138,I-40,302.1,74.6,4.53,11.37,2.74,-0.002,16.67,10.3
139,I-40,312.0,74.9,4.9,10.57,2.38,0.0082,17.48,10.5
140,I-40,296.8,99.8,5.23,10.86,2.41,0.0024,18.59,10.5
141,I-40,278.7,97.8,5.62,13.97,3.27,0.0196,20.76,10.7
142,I-40,276.5,99.5,6.14,13.97,3.8,0.0088,22.66,11.0
143,I-40,266.7,99.5,4.71,12.38,3.73,0.0036,16.43,21.6
144,I-40,248.8,31.3,2.36,7.87,1.72,-0.0082,9.88,43.2
145,I-40,254.3,46.5,3.28,7.71,1.86,-0.0023,11.67,34.7
146,I-40,262.8,60.1,4.3,7.71,1.58,0.0011,14.73,18.7
147,I-40,258.5,57.5,3.45,7.37,1.65,0.0032,13.49,21.3
148,I-40,258.2,64.4,4.17,13.68,2.56,-0.0128,15.35,18.7
149,I-40,272.6,76.3,5.18,13.68,2.86,-0.0139,18.32,10.7
150,I-40,289.8,75.5,4.05,11.59,2.47,0.0065,14.52,10.8
151,I-40,301.7,64.4,2.89,7.92,1.53,0.0072,10.65,10.8
152,I-40,304.3,43.9,2.4,5.92,1.26,-0.0062,9.74,10.7
153,I-40,315.6,106.4,3.83,11.71,2.96,-0.0094,14.02,10.8
154,I-40,336.6,99.9,4.71,11.71,2.62,0.0116,16.35,10.7
155,I-40,338.8,59.6,3.78,7.77,1.73,-0.0031,13.67,11.1
156,I-40,322.0,74.9,2.67,7.4,1.8,-0.0049,10.58,11.0
157,I-40,312.1,50.3,2.73,8.18,1.88,-0.0161,10.37,10.7
158,I-40,325.4,62.6,3.79,11.29,2.34,0.0129,12.32,10.5
159,I-40,333.7,49.7,3.46,11.29,1.9,0.0165,11.03,10.5
160,I-40,324.9,59.2,2.6,6.46,1.03,0.0112,8.77,10.5
161,I-40,310.8,50.3,2.0,3.88,0.88,0.0029,7.43,10.7
162,I-40,302.5,32.4,1.7,3.52,0.85,-0.0005,6.41,11.0
163,I-40,298.7,28.3,1.72,3.52,0.8,0.0034,6.29,11.0
164,I-40,294.2,34.1,2.25,4.54,1.09,0.0012,7.4,10.7
165,I-40,296.5,41.9,2.64,4.57,1.11,0.0063,8.54,10.7
166,I-40,302.1,36.7,2.36,4.57,1.08,-0.0008,8.03,10.8
167,I-40,305.0,34.8,2.37,4.96,1.19,-0.0002,7.97,10.7
168,I-40,301.2,44.1,2.48,5.66,1.23,-0.0044,8.28,10.8
169,I-40,292.1,50.1,2.72,5.86,1.35,-0.0034,9.2,10.8
170,I-40,283.5,47.4,3.0,7.05,1.64,0.0084,9.79,10.7
171,I-40,276.9,58.5,2.86,8.67,1.89,0.0101,10.24,10.8
172,I-40,272.8,70.7,3.66,10.32,2.46,0.0031,12.9,10.7
173,I-40,268.3,70.7,4.16,10.32,2.4,0.0112,13.88,14.7
174,I-40,258.3,52.1,3.26,9.55,2.01,-0.0043,11.84,21.3
175,I-40,260.4,59.8,4.04,11.57,2.82,-0.0041,14.18,23.3
176,I-40,265.6,70.8,5.16,12.47,3.26,-0.0084,17.73,16.7
177,I-40,274.5,79.1,5.26,12.47,3.0,0.0043,18.85,10.5
178,I-40,279.7,75.1,3.56,8.05,2.07,0.0007,13.88,10.5
179,I-40,279.9,55.7,2.28,7.68,1.71,-0.0058,8.74,10.8
180,I-40,282.8,55.5,2.12,6.52,1.31,0.0022,8.04,10.7
181,I-40,296.5,72.8,3.57,8.26,1.75,0.019,12.36,10.8
182,I-40,297.9,69.3,3.77,8.72,2.04,0.0013,13.16,10.7
183,I-40,289.9,53.3,2.3,8.72,1.85,-0.0083,8.52,10.8
184,I-40,289.1,17.1,1.32,3.24,0.64,0.0001,5.01,10.4
185,I-40,294.1,37.3,1.69,8.99,1.23,-0.0055,7.36,10.5
186,I-40,310.8,83.5,3.78,11.83,3.03,-0.0045,14.12,11.0
187,I-40,318.2,80.7,4.7,11.83,2.7,0.0122,17.25,10.8
188,I-40,303.7,98.0,3.71,9.97,2.23,0.0058,13.11,10.8
189,I-40,290.5,57.1,2.14,6.0,1.09,-0.0023,8.12,10.5
190,I-40,289.7,39.2,1.85,4.4,0.83,0.0016,6.65,10.5
191,I-40,294.1,44.1,2.18,4.97,1.06,0.0094,7.93,10.7
192,I-40,297.2,40.5,2.26,4.78,0.9,0.0012,8.54,10.7
193,I-40,299.2,84.1,3.41,11.23,2.94,0.0077,12.33,10.5
194,I-40,301.1,85.3,4.64,12.83,3.66,0.0047,16.24,10.7
195,I-40,309.3,88.1,4.8,12.83,3.21,0.0002,17.09,10.8
196,I-40,339.9,125.3,5.94,14.24,3.33,-0.0097,20.72,10.5
197,I-40,358.0,100.0,5.79,12.63,3.07,0.0228,21.08,11.0
198,I-40,333.1,107.4,3.67,12.63,2.78,-0.0091,14.2,10.7
199,I-40,327.0,75.9,3.58,10.04,2.37,-0.0083,12.93,10.8
200,I-40,331.4,77.8,4.12,8.26,1.86,-0.0032,14.46,11.0
201,I-40,311.8,79.0,3.4,6.79,1.41,-0.0097,11.54,10.8
202,I-40,296.0,49.0,2.52,5.55,1.32,-0.0048,9.05,11.0
203,I-40,293.8,42.3,2.52,6.46,1.55,-0.0044,9.58,10.8
204,I-40,306.6,65.2,3.67,9.36,2.14,0.0006,14.38,10.8
205,I-40,324.1,96.8,4.79,10.18,2.42,0.0041,18.74,10.8
206,I-40,320.2,89.8,4.65,10.18,2.17,0.0004,18.29,10.7
207,I-40,312.4,96.4,4.72,9.65,1.98,0.0057,18.63,10.8
208,I-40,320.4,96.4,4.83,10.56,2.27,0.0097,19.91,10.8
209,I-40,325.4,84.9,4.2,10.56,2.07,0.0106,17.32,10.8
210,I-40,311.5,75.8,3.99,10.46,2.09,0.0068,15.57,10.7
211,I-40,299.7,62.9,3.33,7.29,1.56,0.003,13.36,10.7
212,I-40,304.7,72.5,3.2,6.56,1.55,-0.0077,12.26,10.4
213,I-40,315.0,60.7,3.2,6.64,1.61,0.005,12.33,10.7
214,I-40,314.1,73.2,3.2,6.7,1.48,0.0057,13.08,10.8
215,I-40,303.1,75.6,2.94,6.7,1.36,-0.0014,12.13,10.8
216,I-40,293.6,63.2,3.24,12.81,2.5,-0.0137,13.47,10.7
217,I-40,303.3,80.7,4.26,12.81,2.76,-0.0161,18.02,10.5
218,I-40,313.5,80.7,4.89,9.73,2.27,0.0041,19.49,10.7
219,I-40,312.1,69.5,4.4,9.5,2.27,0.0122,16.8,10.4
220,I-40,296.1,73.3,2.73,8.42,1.93,-0.0051,10.77,10.5
221,I-40,282.7,35.2,1.64,6.42,1.06,-0.0069,6.54,10.7
222,I-40,284.0,56.7,2.12,7.61,1.67,-0.0012,8.19,10.8
223,I-40,292.2,52.8,2.99,7.61,1.66,0.0035,10.85,10.8
224,I-40,293.5,39.3,2.42,5.98,1.4,-0.0022,8.66,10.8
225,I-40,299.5,36.6,1.71,3.53,0.8,0.0032,6.13,10.7
226,I-40,306.8,30.3,1.89,4.05,0.86,0.001,6.49,10.7
227,I-40,312.8,33.8,2.0,4.05,0.87,-0.0022,6.92,10.7
228,I-40,317.5,47.5,2.59,7.96,1.61,0.0061,8.63,10.5
229,I-40,308.1,55.2,2.95,7.96,1.73,0.0023,10.22,10.7
230,I-40,307.6,43.6,2.25,7.96,1.54,-0.0021,8.09,11.0
231,I-40,322.1,33.4,1.44,3.74,0.75,0.003,5.56,10.5
232,I-40,321.1,43.4,2.21,5.12,1.31,-0.0018,8.56,10.5
233,I-40,322.2,78.3,4.08,12.24,2.32,-0.0146,15.84,11.0
234,I-40,341.7,108.8,5.77,12.81,2.97,-0.0159,21.99,11.0
235,I-40,359.1,105.8,5.73,14.35,2.91,-0.0183,21.48,10.7
236,I-40,363.5,109.9,6.6,16.8,3.6,0.0077,23.83,10.5
237,I-40,345.9,115.5,6.66,16.8,3.91,0.0118,24.08,10.8
238,I-40,326.4,87.4,5.14,13.14,3.47,-0.0042,19.98,10.7
239,I-40,336.3,93.2,4.86,12.85,3.15,-0.0055,18.84,10.8
240,I-40,364.2,142.7,6.1,17.17,3.57,0.0036,22.07,10.8
241,I-40,363.8,134.1,7.65,19.55,4.37,-0.0165,27.39,11.0
242,I-40,381.4,206.9,10.52,23.19,5.24,0.0097,36.15,10.5
243,I-40,438.2,246.1,12.59,23.19,5.26,0.0178,43.79,10.5
244,I-40,487.1,209.1,14.04,22.41,4.66,0.0632,48.14,10.8
245,I-40,473.2,193.6,11.59,21.68,4.6,0.0361,41.09,10.8
246,I-40,449.8,135.9,8.78,19.08,4.31,0.0012,29.39,10.7
247,I-40,431.3,108.9,6.23,15.57,3.34,0.0206,22.25,10.7
248,I-40,403.4,103.7,4.91,12.43,2.63,-0.0022,19.92,10.7
249,I-40,396.9,105.6,5.44,13.39,3.26,-0.0066,21.51,10.5
250,I-40,399.3,101.0,5.58,13.39,3.06,-0.0217,22.04,10.7
251,I-40,394.7,80.5,5.79,17.89,3.62,-0.0359,22.18,10.7
252,I-40,396.9,109.8,6.04,17.89,4.0,-0.0202,22.72,10.7
253,I-40,416.6,143.4,7.48,22.23,5.11,-0.02,26.61,10.5
254,I-40,442.9,168.0,8.28,22.23,5.15,-0.0004,29.74,10.8
255,I-40,440.3,139.4,6.42,19.67,4.0,-0.0278,23.78,10.8
256,I-40,426.4,69.9,3.97,11.5,2.39,-0.0142,14.6,10.7
257,I-40,412.7,57.2,3.09,13.97,2.82,-0.0056,12.37,10.8
258,I-40,456.3,224.7,8.1,20.23,6.12,-0.0235,31.09,10.8
259,I-40,572.5,370.6,14.74,28.73,5.7,0.0263,53.55,10.8
260,I-40,648.3,267.7,15.49,28.73,7.0,0.0329,54.8,11.1
261,I-40,662.6,287.6,13.74,31.55,6.79,0.04,48.84,10.4
262,I-40,689.9,232.6,15.41,31.55,7.27,0.0109,53.92,10.4
263,I-40,653.7,339.2,16.9,31.76,6.78,-0.0285,60.63,10.5
264,I-40,562.0,345.2,19.18,31.76,6.35,-0.0186,67.13,10.4
265,I-40,488.2,301.7,19.14,34.73,7.37,-0.015,66.69,10.5
266,I-40,446.8,239.4,17.25,34.73,8.0,-0.0474,61.01,10.7
267,I-40,475.8,215.3,14.16,31.32,8.06,-0.0176,52.94,11.0
268,I-40,507.3,256.7,13.01,31.32,7.09,0.0375,48.61,10.8
269,I-40,472.2,201.5,13.99,30.86,6.16,-0.0461,49.4,10.8
270,I-40,502.4,260.5,14.78,30.86,6.54,-0.0192,51.45,10.8
271,I-40,569.1,220.3,11.61,24.18,5.66,0.0423,40.7,10.7
272,I-40,645.6,381.4,12.67,24.96,6.34,0.0315,46.01,10.7
273,I-40,741.1,311.1,16.47,25.65,5.54,0.0635,58.33,10.7
274,I-40,764.9,231.9,15.02,25.65,4.99,0.0619,51.51,10.4
275,I-40,731.6,235.0,11.64,20.99,3.79,0.0235,40.55,10.4
276,I-40,741.8,290.5,11.71,21.49,4.06,-0.023,41.77,10.8
277,I-40,803.2,272.2,14.49,22.47,4.14,-0.0271,51.52,11.0
278,I-40,871.4,284.6,17.03,24.9,3.84,0.0048,59.0,10.8
279,I-40,965.4,427.2,18.64,27.54,4.5,0.0096,66.72,10.7
280,I-40,1036.0,372.9,17.76,27.54,5.09,0.016,64.04,10.7
281,I-40,1004.9,349.5,14.01,26.83,4.73,0.0093,51.15,10.5
282,I-40,926.1,261.3,11.35,23.83,4.48,-0.0045,41.5,10.5
283,I-40,885.2,166.7,8.57,18.12,3.88,-0.0008,31.31,10.8
284,I-40,889.9,155.5,8.23,16.71,3.59,-0.0231,28.94,10.5
285,I-40,931.6,183.0,9.43,16.89,3.67,0.0032,32.59,10.7
286,I-40,987.5,248.9,10.45,18.93,3.86,-0.0002,36.29,10.7
287,I-40,1089.0,283.3,10.46,18.93,3.45,-0.0045,39.03,10.7
288,I-40,1197.9,240.1,11.6,18.81,3.67,0.032,42.15,10.7
289,I-40,1233.3,190.1,11.71,18.81,3.89,0.0374,40.3,10.7
290,I-40,1218.5,181.7,9.42,16.57,3.65,0.0016,33.58,10.8
291,I-40,1177.8,206.9,7.72,21.33,3.69,-0.006,28.55,10.7
292,I-40,1121.4,166.0,7.02,15.09,3.16,-0.0047,25.31,10.4
293,I-40,1071.7,227.8,8.85,20.26,4.43,-0.017,30.81,10.7
294,I-40,1020.0,189.4,11.9,25.16,5.56,-0.0358,42.05,10.8
295,I-40,1003.1,182.4,12.29,25.16,5.73,-0.0139,43.59,10.7
296,I-40,950.3,260.8,10.41,21.72,4.62,0.0066,39.52,10.8
297,I-40,914.7,223.1,13.06,24.55,5.69,0.0132,44.95,10.7
298,I-40,899.1,310.4,15.9,24.55,4.9,0.05,54.34,10.5
299,I-40,794.0,351.1,12.05,23.91,5.68,0.0046,42.64,10.7
300,I-40,735.2,165.7,9.26,23.41,4.79,-0.0182,35.14,11.0
301,I-40,849.4,431.4,16.63,31.75,8.24,0.0458,59.61,10.5
302,I-40,958.3,304.7,18.58,31.75,7.09,0.0456,65.3,10.5
303,I-40,1033.6,356.5,15.69,24.99,6.02,0.0204,57.38,10.7
304,I-40,1090.1,296.0,16.43,24.99,5.83,-0.004,59.98,11.1
305,I-40,1001.1,417.8,14.64,24.4,5.03,-0.028,52.87,10.4
306,I-40,931.1,222.5,14.59,24.4,5.06,0.0099,50.7,10.4
307,I-40,913.6,217.1,14.11,27.89,5.56,0.0027,50.11,10.7
308,I-40,950.8,354.2,14.87,24.08,4.93,-0.0747,53.89,10.7
309,I-40,1077.8,368.1,15.69,24.08,3.85,0.016,53.75,10.7
310,I-40,1085.5,324.4,14.91,23.2,4.35,0.0798,51.77,10.5
311,I-40,952.3,352.8,17.19,27.18,5.47,0.0275,59.87,10.8
312,I-40,797.4,475.2,18.52,27.18,5.41,0.0513,63.65,10.4
313,I-40,682.6,329.2,15.29,27.12,6.33,0.0185,54.3,11.0
314,I-40,625.0,203.8,10.94,26.58,5.44,-0.0173,38.46,10.5
315,I-40,617.4,139.1,7.98,18.01,3.45,-0.0108,29.15,10.7
316,I-40,629.7,161.4,7.77,18.92,4.02,-0.0191,29.34,10.8
317,I-40,640.9,149.3,8.61,16.01,3.93,-0.0043,31.35,10.5
318,I-40,641.0,158.0,8.51,15.6,3.78,-0.0199,29.87,10.8
319,I-40,642.2,141.5,6.36,14.92,3.1,-0.0055,22.61,10.7
320,I-40,646.1,81.5,4.89,9.91,2.31,-0.0065,18.05,10.7
321,I-40,652.6,81.2,4.15,9.91,2.04,0.0036,16.35,10.7
322,I-40,637.8,166.7,5.37,17.77,3.42,0.0065,20.61,10.5
323,I-40,600.3,137.6,8.61,22.51,5.59,0.0008,30.99,11.0
324,I-40,596.1,127.0,7.89,22.51,5.43,-0.0017,27.62,10.7
325,I-40,616.2,91.1,4.25,11.69,2.29,-0.003,15.6,10.7
326,I-40,630.7,65.9,3.42,7.66,1.7,0.0114,12.89,10.4
327,I-40,637.3,75.6,4.25,11.56,2.31,0.008,14.84,11.0
328,I-40,632.4,86.6,5.05,11.8,2.58,0.0036,18.13,10.4
329,I-40,625.6,122.1,6.36,12.92,2.63,0.0141,22.2,10.8
330,I-40,629.5,122.1,5.14,12.92,2.91,-0.0023,18.8,10.8
331,I-40,637.5,75.0,3.38,9.03,1.55,-0.0109,12.24,10.8
332,I-40,649.5,54.0,2.91,5.68,1.28,-0.0029,10.24,10.7
333,I-40,649.4,52.0,2.88,5.31,1.22,0.0108,10.42,10.8
334,I-40,646.9,46.4,2.75,5.44,1.29,0.0014,10.29,10.5
335,I-40,652.8,54.1,2.91,5.76,1.3,0.0033,10.39,10.8
336,I-40,663.0,57.1,2.88,6.38,1.42,-0.0085,11.18,11.0
337,I-40,689.8,144.4,6.16,19.95,5.22,-0.0326,22.13,11.0
338,I-40,744.0,206.2,11.14,22.92,5.89,0.0004,38.69,10.7
339,I-40,797.6,263.6,15.34,29.87,6.11,0.0516,53.08,10.7
340,I-40,801.1,301.8,15.63,29.87,7.08,-0.0041,57.34,10.7
341,I-40,815.5,297.8,15.91,28.32,6.57,-0.01,56.67,10.8
342,I-40,863.9,377.5,16.89,29.73,5.9,0.0279,59.65,10.2
